name;email;" password";"Reg number";"Vehicle type";"Check-in time"
Lion;LionWild@gmail.com;2345lion
Wille;wille1234@gmail.com;abc12345;R403;Car;1676714353
Anna;Anna0086@imdutex.com;1234a;R124;MC;1676714575
Sara;Sara600@gmail.com;1234;R644;MC;1676713498
William;William890@gmail.com;1234w;R340;MC;1676835801
AliReza;Alireza700@gmail.com;a12345;R199;MC;1676714521
Peter;Peter650@outlook.com;1234p;R545;Car;1676715036
Reza;Reza9098@gmail.com;1234r;R430;Car;1676746210
Hafizullah;hafizullahrahimi@outlook.com;1234h
"Olga Richmond";lyhiqep@mailinator.com;Pa$$w0rd!
"Holmes Bishop";folutocy@mailinator.com;Pa$$w0rd!
